ingredient_name,rating,benefits,categories,info
Zinc Gluconate,Good,"[""Hydration""]","[""Humectant"", ""Preservative""]",[]
Zea Mays Corn Starch,Good,"[""Oil Control""]","[""Absorbent"", ""Film-Forming Agent"", ""Texture Enhancer""]","[""Starch obtained from corn that can be formulated to serve different roles\u00a0Most famously used as an absorbent that tempers shine on oily skin\u00a0Also functions as a viscosity increasing ingredient and film-forming agent\u00a0OTC monographed as a skin protectant when formulated under particular conditions\u00a0Can also be used as an abrasive agent (not recommended in this capacity for the safety of skin)""]"
Zanthoxylum Bungeanum Fruit Extract,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant"", ""Plant Extracts""]","[""Fruit from a plant also called prickly ash"", ""Major component of Sichuanese cuisine"", ""Has natural analgesic properties"", ""Component of an ingredient blend called Zanthalene \u00ae""]"
Yeast,Good,"[""Anti-Aging"", ""Hydration"", ""Soothing""]","[""Antioxidant"", ""Humectant""]",[]
Xymenynic Acid,Good,"[""Hydration""]","[""Humectant""]","[""A synthetic fatty acid"", ""Functions as a skin-softening agent""]"
Xylose,Good,"[""Hydration"", ""Soothing""]","[""Humectant""]",[]
Xylitylglucoside,Good,"[""Hydration"", ""Soothing""]","[""Humectant""]",[]
Ximenia Americana Oil,Good,"[""Anti-Aging"", ""Hydration""]","[""Plant Extracts"", ""Antioxidant""]",[]
Xanthan Gum,Good,[],"[""Texture Enhancer"", ""Cleansing Agent"", ""Emulsifier""]","[""Is a polysaccharide, which is a type of carbohydrate"", ""Used as an aqueous thickening agent, texture enhancer, and emulsion stabilizer"", ""Is named for the bacteria Xanthomonas campestris"", ""Can also be used as a food additive, especially in sauces and salad dressings""]"
White Willow,Good,"[""Soothing""]","[""Plant Extracts"", ""Antioxidant""]","[""Plant extract with proven skin-soothing, antioxidant benefits"", ""Contains beneficial compounds of salicin, polyphenols, and flavonoids"", ""Also goes by the name willow bark"", ""Often touted as a natural alternative to salicylic acid, however research shows the exfoliation association is questionable""]"
Whey Protein,Good,"[""Hydration""]","[""Humectant""]",[]
Wheat Protein,Good,"[""Hydration""]","[""Humectant"", ""Film-Forming Agent""]",[]
Wheat Germ Oil,Good,"[""Hydration"", ""Anti-Aging""]","[""Emollient"", ""Plant Extracts"", ""Antioxidant""]",[]
Wheat Germ Glycerides,Good,"[""Hydration"", ""Anti-Aging""]","[""Emollient"", ""Antioxidant""]",[]
Wheat Amino Acids,Good,"[""Hydration"", ""Anti-Aging""]","[""Humectant"", ""Antioxidant""]",[]
Watercress Extract,Good,"[""Anti-Aging""]","[""Plant Extracts"", ""Antioxidant""]",[]
Water,Good,"[""Hydration""]","[""Solvent""]","[""The most widely used cosmetic ingredient"", ""Typically appears as the first ingredient in skin care products"", ""Only a 10% concentration is needed in skin\u2019s outer layers for softness and pliability"", ""Studies show dry skin and oily skin do not have a significant difference in moisture levels""]"
Walnut Oil,Good,"[""Hydration""]","[""Emollient"", ""Plant Extracts""]",[]
VP/VA Copolymer,Good,[],"[""Film-Forming Agent"", ""Polymer"", ""Suspending/Dispersing Agent""]","[""A polymer, or large molecule, used in skin and hair care"", ""Film-forming agent that can hinder moisture loss"", ""Often used in hair care to keep hair in place"", ""CIR Expert Panel deemed safe for use""]"
VP/Hexadecene Copolymer,Good,[],"[""Polymer"", ""Film-Forming Agent""]",[]
VP/Eicosene Copolymer,Good,[],"[""Film-Forming Agent"", ""Polymer""]","[""Film-forming agent often used in water-resistant sunscreens to improve adherence to skin"", ""Also works as a viscosity-increasing agent to enhance texture"", ""Sometimes included in lipstick formulations to add luster/shine"", ""Deemed safe by the Cosmetic Ingredient Review Expert Panel""]"
Vitis Vinifera Fruit Water,Good,"[""Hydration""]","[""Plant Extracts""]","[""Aqueous solution obtained from grapes"", ""Recognized as a skin-conditioning agent"", ""May be used to partially or completely replace the water content in skin care formulations"", ""Seed extract and oil forms of Vitis vinifera have more research backing their benefits for skin""]"
Vitamin K,Good,"[""Anti-Aging"", ""Evens Skin Tone""]","[""Antioxidant""]",[]
Vitamin D,Good,"[""Anti-Aging""]","[""Antioxidant""]",[]
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,Good,[],"[""Silicone"", ""Polymer"", ""Texture Enhancer""]","[""Blend of silicone polymers"", ""Functions as a thickening agent and texture enhancer"", ""Typically used in amounts between 0.1-20%Deemed safe as used in cosmetics""]"
Vanillin,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]","[""Sweetly aromatic flavoring agent derived from vanilla beans"", ""Can also be produced synthetically or bio-fermented"", ""Antioxidant properties help sustain youthful skin"", ""Popular in lip products but also found in other personal care formulations""]"
Vanilla Planifolia Fruit Extract,Good,"[""Anti-Aging"", ""Soothing""]","[""Plant Extracts"", ""Antioxidant"", ""Fragrance: Synthetic and Natural""]","[""Known for its antioxidant benefits"", ""Serves as a skin-soothing ingredient"", ""Used as a flavoring agent in some lip products"", ""Its aromatic component (vanillin) is considered non-sensitizing""]"
Valine,Good,"[""Hydration"", ""Soothing""]","[""Humectant""]","[""An essential amino acid that provides hydrating benefits"", ""One part of a soothing peptide also made of lysine and proline"", ""Works in the body with leucine and isoleucine to synthesize collagens"", ""May be animal-derived or synthetic""]"
VA/Crotonates Copolymer,Good,[],"[""Film-Forming Agent""]",[]
Undecane,Good,[],"[""Emollient"", ""Texture Enhancer""]","[""Emollient that is known for offering a lightweight, smooth glide to formulations"", ""Touted for its quick absorbency and non-greasy finish"", ""Found naturally in coconut, palm, prickly pear, gooseberries, algae, and fungi"", ""Often used in tandem with tridecane (another emollient)""]"
Uncaria Tomentosa Extract,Good,"[""Soothing""]","[""Plant Extracts"", ""Antioxidant""]",[]
Ulmus Davidiana Root Extract,Good,"[""Anti-Aging"", ""Hydration"", ""Soothing""]","[""Antioxidant"", ""Humectant"", ""Plant Extracts""]","[""Plant extract derived from the Ulmus davidiana tree"", ""Hydrates and soothes skin due to its polysaccharide content"", ""Contains bakuchiol and catechin, antioxidants that help protect skin"", ""Reduces the look of fine lines and wrinkles""]"
Tryptophan,Good,"[""Hydration""]","[""Antioxidant"", ""Humectant""]",[]
Tropolone,Good,[],"[""Antioxidant"", ""Preservative""]","[""Organic compound that can be derived from plants"", ""Has antioxidant properties"", ""Used as a preservative due to its antimicrobial abilities"", ""Pale-yellow solid in its raw form""]"
Tropaeolum Majus Extract,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]","[""From the garden nasturtium plant"", ""Source of antioxidants vitamin C and lutein"", ""Also a skin conditioning ingredient""]"
Triticum Vulgare Germ Oil,Good,"[""Hydration"", ""Anti-Aging""]","[""Emollient"", ""Plant Extracts"", ""Antioxidant""]",[]
Triticum Vulgare (Wheat) Protein,Good,"[""Hydration""]","[""Humectant"", ""Film-Forming Agent""]",[]
Triticum Vulgare (Wheat) Germ Extract,Good,"[""Hydration"", ""Anti-Aging""]","[""Plant Extracts"", ""Humectant"", ""Antioxidant""]",[]
Triticum Aestivum Leaf Powder,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]","[""Also known as wheatgrass powder"", ""Helps skin maintain a youthful appearance"", ""Assists in shielding skin from damage associated with external agents"", ""Contains vitamin C and other antioxidant-rich compounds""]"
Trisodium Ethylenediamine Disuccinate,Good,[],"[""Chelating Agent""]","[""Chelating agent which binds with metal ions or metallic compounds"", ""Plays a pivotal role in the overall stability, aesthetics, and efficacy of the formulation"", ""Commonly used in body washes, cleansers, and shampoos"", ""Comes in either solid or granular form as a raw material""]"
Trisodium EDTA,Good,[],"[""Chelating Agent""]",[]
Trisiloxane,Good,"[""Hydration""]","[""Emollient"", ""Silicone"", ""Texture Enhancer""]","[""A colorless, odorless siloxane fluid"", ""Imparts a soft feel to skin"", ""Allows for seamless product spreadability"", ""Leaves a non-greasy feel on skin""]"
Tripleurospermum Maritimum Extract,Good,"[""Anti-Aging"", ""Soothing"", ""Hydration""]","[""Plant Extracts"", ""Antioxidant""]",[]
Tripeptide-32,Good,"[""Anti-Aging""]","[""Peptides""]","[""Also called Spec"", ""Ped\u00ae TR32PAdditionally referred to as Chronolux\u2122Has hydrating benefits"", ""Is claimed to regulate skin\u2019s biological clock""]"
Trioctyldodecyl Citrate,Good,"[""Hydration""]","[""Humectant"", ""Occlusive/Opacifying Agent""]",[]
Trioctanoin,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]",[]
Trioclanolin,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]",[]
Trimethylsiloxysilicate,Good,"[""Hydration""]","[""Silicone"", ""Occlusive/Opacifying Agent"", ""Humectant""]",[]
Trilaurin,Good,"[""Hydration""]","[""Humectant"", ""Occlusive/Opacifying Agent""]",[]
Triisostearin,Good,[],"[""Emollient"", ""Texture Enhancer""]","[""A blend of glycerin and fatty acid stearic acid"", ""Is a triester, meaning it has three ester groups, such as triglyceride"", ""Adds spreadability and enhances texture by adding a cushiony feel"", ""Also known as glyceryl triisostearate""]"
Triisocetyl Citrate,Good,"[""Hydration""]","[""Humectant"", ""Occlusive/Opacifying Agent""]",[]
Trihydroxystearin,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer"", ""Occlusive/Opacifying Agent""]","[""Mix of glycerin and fatty acid hydroxystearic acid (which is derived from castor oil)Used in amounts between 1-7% as an occlusive or thickener in cosmetics"", ""Ruled safe as used in skin care, hair care, and makeup products"", ""Also used as a direct and indirect food additive""]"
Triheptanoin,Good,"[""Hydration""]","[""Emollient""]","[""Made from glycerin and an oily liquid known as heptanoic acid"", ""Sometimes used as a replacement for siloxane-type silicones"", ""Provides elegant, non-greasy emollient aesthetics"", ""Also used as a dispersing agent for UV filters""]"
Trigonella Foenum-Graecum Seed Extract,Good,"[""Hydration"", ""Anti-Aging""]","[""Plant Extracts"", ""Humectant"", ""Antioxidant"", ""Antibacterial""]","[""From a plant known as fenugreek"", ""Has antioxidant + anti-inflammatory benefits"", ""Also has antibacterial properties"", ""Can trigger allergic reactions in those with peanut allergies""]"
Triglyceride,Good,"[""Hydration""]","[""Texture Enhancer"", ""Emollient""]",[]
Triethylhexanoin,Good,"[""Hydration""]","[""Solvent"", ""Occlusive/Opacifying Agent"", ""Humectant""]","[""Synthetic mixture of glycerin and 2-ethylhexanoic acid"", ""Functions as a solvent and occlusive agent"", ""Also works as a skin-conditioning emollient and hair conditioner"", ""Considered safe as used in cosmetics""]"
Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone,Good,"[""Hydration""]","[""Silicone"", ""Polymer"", ""Occlusive/Opacifying Agent""]",[]
Triethoxycaprylylsilane Crosspolymer,Good,[],"[""Silicone"", ""Film-Forming Agent"", ""Polymer""]",[]
Triethoxycaprylylsilane,Good,[],"[""Silicone"", ""Texture Enhancer""]","[""Silicone that functions as a binding agent and emulsion stabilizer"", ""Used to coat mineral sunscreen actives and pigments, creating more pleasant aesthetics"", ""Can also help reduce oxidative stress"", ""Proven track record of safety in cosmetic use""]"
Tridecyl Trimellitate,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer"", ""Film-Forming Agent""]","[""Used as a skin-softening emollient, film-forming agent, and texture-enhancing ingredient"", ""Also touted as an excellent pigment dispersant in cosmetic formulas"", ""Described as a high-viscosity liquid in raw material form"", ""Deemed safe by the Cosmetic Ingredient Review Expert Panel""]"
Tridecyl Stearate,Good,"[""Hydration""]","[""Emollient"", ""Texture Enhancer""]","[""The ester obtained from the reaction of tridecyl alcohol combined with stearic acid"", ""Works as a texture-enhancer/thickening agent and skin-softening emollient"", ""Touted for its quick absorption and velvety after feel"", ""Described as a clear oily liquid in raw material form""]"
Tridecyl Salicylate,Good,"[""Hydration""]","[""Humectant""]",[]
Trideceth-6,Good,[],"[""Emulsifier"", ""Cleansing Agent""]",[]
Trideceth-12,Good,[],"[""Cleansing Agent"", ""Emulsifier""]",[]
Tridecane,Good,[],"[""Emollient"", ""Solvent"", ""Texture Enhancer""]","[""Emollient that is known for offering a lightweight, smooth glide to skin care formulations\u202fTouted for prolonging wear of makeup formulations\u202fFound in okra and other natural sources\u202fOften used as an alternative to silicones (for those who prefer such)""]"
Tricaprylin,Good,"[""Hydration""]","[""Emollient""]",[]
Tribehenin PEG-20 Esters,Good,"[""Hydration""]","[""Emollient"", ""Emulsifier"", ""Cleansing Agent""]",[]
Tribehenin,Good,"[""Hydration""]","[""Humectant"", ""Occlusive/Opacifying Agent""]","[""Mixture of glycerin + behenic acid that helps prevent moisture loss and conditions skin/hair"", ""May also be used as an occlusive agent and \u201cgloss aid for cosmetics\u201dCan be plant-derived or synthetic"", ""Deemed safe as a cosmetic ingredient""]"
Triacetin,Good,[],"[""Solvent"", ""Texture Enhancer"", ""Preservative""]","[""Triglyceride is used in cosmetics as a solvent to help form solutions"", ""Can also serve as a cosmetic preservative"", ""Improves texture as a plasticizer"", ""Characterized as a colorless and odorless liquid""]"
Trehalose,Good,"[""Hydration""]","[""Humectant""]","[""Water-binding plant sugar that delivers hydrating properties for skin"", ""Offers antioxidant properties to preserve skin\u2019s youthfulness"", ""Can also be used to thicken cosmetic formulas"", ""White, odorless powder in its raw material form""]"
Tragacanth,Good,[],"[""Texture Enhancer""]",[]
Tocopheryl Nicotinate,Good,"[""Anti-Aging""]","[""Antioxidant""]","[""Ester of vitamin E + vitamin B3Has antioxidant properties"", ""Also a skin soothing ingredient"", ""Ruled safe as used in cosmetics""]"
Tin Oxide,Good,[],"[""Occlusive/Opacifying Agent""]","[""Mineral-derived cosmetic ingredient that is most often used to lend opacity to a formula"", ""May also function as a bulking agent, increasing the volume of the formula"", ""White-to-grayish powder in raw material form"", ""Also goes by the name \u201ctin(IV) oxide\u201d in research literature""]"
Thymol,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant"", ""Fragrance: Synthetic and Natural"", ""Plant Extracts""]","[""Found in thyme oil"", ""Has antioxidant and soothing properties"", ""Can be sensitizing in large amounts""]"
Threonine,Good,"[""Anti-Aging"", ""Hydration""]","[""Antioxidant"", ""Humectant""]","[""An essential amino acid that provides hydrating benefits"", ""Most often found in blends with other skin care ingredients"", ""Part of peptides that contribute to visibly firmer skin"", ""In the body, threonine plays a signaling role to maintain health""]"
Thiotaurine,Good,"[""Anti-Aging"", ""Hydration""]","[""Antioxidant"", ""Humectant""]",[]
Thickening Agent,Good,[],"[""Texture Enhancer"", ""Emulsifier""]",[]
Tetrasodium Glutamate Diacetate,Good,[],"[""Chelating Agent""]",[]
Tetrasodium Etidronate,Good,[],"[""Chelating Agent""]",[]
Tetrasodium EDTA,Good,[],"[""Chelating Agent""]","[""Prevents minerals and metals in water from bonding to other ingredients"", ""Helps prevent unwanted changes to a product\u2019s texture, smell, or consistency"", ""A salt form of EDTA (ethylenediamine tetraacetic acid)Is related to disodium and trisodium EDTAs""]"
Tetrapeptide-21,Good,"[""Anti-Aging""]","[""Peptides""]","[""Synthetic peptide"", ""Composed of glutamic acid, glycine, and lysine"", ""Part of a blend known by the trade name Spec"", ""Ped\u00ae SC-Tetra21Claimed to boost proteins in skin\u2019s extracellular matrix""]"
Tetrahydroxypropyl Ethylenediamine,Good,[],"[""Chelating Agent""]","[""Chelating agent"", ""Binds with metal ions or metallic compounds"", ""Prevents metal ions from adhering to a surface (such as skin)Also helps prevent contamination""]"
Tetradibutyl Pentaerithrityl Hydroxyhydrocinnamate,Good,[],"[""Antioxidant"", ""pH Adjuster/Stabilizer"", ""Preservative""]",[]
Terpineol,Good,"[""Anti-Aging"", ""Soothing""]","[""Antioxidant"", ""Fragrance: Synthetic and Natural"", ""Plant Extracts""]","[""Found in cardamom and essential oils"", ""Has anti-inflammatory properties"", ""Is an antioxidant that may improve skin\u2019s healthy longevity"", ""Promotes an anti-acne environment on skin"", ""Can be sensitizing in large quantities""]"
Terminalia Arjuna Extract,Good,"[""Anti-Aging"", ""Dark Spot Fading""]","[""Antioxidant"", ""Plant Extracts""]","[""From the arjuna plant"", ""Has skin conditioning properties"", ""Also an antioxidant and anti-inflammatory ingredient""]"
Tasmannia Lanceolata Fruit/Leaf Extract,Good,"[""Anti-Aging""]","[""Antioxidant""]","[""Comes from a shrub native to Australia commonly known as the Tasmannia Pepper or Mountain Pepper"", ""This plant\u2019s fruit and leaves are rich in antioxidants, which have soothing/anti-aging benefits"", ""Linked to improving the appearance of stretch marks but more independent studies are needed"", ""Although this plant contains fragrance chemicals, it\u2019s not overly concerning in this extract form""]"
Tapioca Starch,Good,"[""Oil Control""]","[""Texture Enhancer"", ""Absorbent""]",[]
Tamarindus Indica Seed Gum,Good,"[""Hydration""]","[""Emulsifier"", ""Texture Enhancer"", ""Humectant""]","[""Natural polysaccharide extracted from cluster bean seeds of the tamarind tree"", ""Adds thickening and gelling properties to create smooth textures"", ""Other functions include emulsion stabilizer, skin-conditioning agent, and humectant\u201cUpcycled\u201d skin care ingredient when it is salvaged as a byproduct of tamarind fruit pulp waste""]"
Tamanu Oil,Good,"[""Hydration"", ""Anti-Aging""]","[""Emollient"", ""Plant Extracts"", ""Antioxidant""]",[]
Tagetes Erecta Flower Extract,Good,"[""Anti-Aging"", ""Dark Spot Fading""]","[""Antioxidant"", ""Plant Extracts""]","[""From the Aztec or Mexican marigold"", ""Has skin conditioning properties"", ""Also an antioxidant and anti-inflammatory ingredient"", ""Could potentially fade dark spots""]"
Synthetic Wax,Good,[],"[""Texture Enhancer"", ""pH Adjuster/Stabilizer""]",[]
Synthetic Fluorphlogopite,Good,[],"[""Texture Enhancer""]",[]
Synthetic Fluorophlogopite,Good,[],"[""Texture Enhancer""]",[]
Synthetic Beeswax,Good,[],"[""Texture Enhancer""]","[""Vegan material designed to mimic beeswax"", ""Made of esters and fatty alcohols"", ""Emollient, skin protectant, and texture enhancer"", ""Ruled safe as used in cosmetics""]"
Symphytum Officinale Callus Culture Extract,Good,"[""Anti-Aging""]","[""Antioxidant"", ""Plant Extracts""]","[""Stem cell extract from the comfrey plant"", ""Has antioxidant and soothing properties"", ""Helps improve some visible signs of aging"", ""Does not present the same problems for skin as pure comfrey""]"
Sweet Almond,Good,"[""Anti-Aging"", ""Hydration""]","[""Plant Extracts"", ""Antioxidant""]",[]
Surfactant,Good,[],"[""Cleansing Agent"", ""Emulsifier""]",[]
Sulfur,Good,"[""Anti-Acne""]","[""Irritant"", ""Antibacterial"", ""Exfoliant""]","[""Non-metal chemical element"", ""Antimicrobial, exfoliating & anti-inflammatory properties"", ""Used to treat several skin issues, including acne"", ""Typically used in amounts from 3-10%Can cause dryness & irritation in high concentrations""]"
Sulfates,Good,[],"[""Cleansing Agent"", ""Emulsifier""]",[]
Sucrose Stearate,Good,"[""Hydration""]","[""Cleansing Agent"", ""Emollient""]",[]
Sucrose Laurate,Good,"[""Hydration""]","[""Cleansing Agent"", ""Emollient"", ""Emulsifier""]","[""Created from a combination of sugar and lauric acid"", ""Functions as an emollient/skin-conditioning agent and emulsifier/surfactant"", ""Often touted as a gentle cleansing agent"", ""P&G study suggests blending this ingredient with dilaurate to mitigate skin dulling/yellowing""]"
Sucrose Cocoate,Good,[],"[""Emollient"", ""Emulsifier"", ""Texture Enhancer""]","[""Made from coconut acid but may also be synthetic"", ""Used as a gentle surfactant, emulsifier, and emollient"", ""Improves foaming aesthetic when added to cleansers"", ""Improves texture and spreadability of creams and lotions""]"
Sucrose,Good,"[""Hydration""]","[""Humectant""]",[]
Succinic Acid,Good,"[""Soothing"", ""Anti-Acne""]","[""pH Adjuster/Stabilizer"", ""Chelating Agent""]","[""Used in cosmetics to adjust p"", ""H and mask unpleasant odors"", ""Produced naturally on skin where it controls the population of C. acnes"", ""Products with succinic acid may play an indirect role in improving breakouts"", ""May be synthetic or obtained via fermentation""]"
Styrene/Isoprene Copolymer,Good,[],"[""Occlusive/Opacifying Agent"", ""Polymer"", ""Texture Enhancer""]","[""Synthetic polymer"", ""Film-forming agent and opacifier"", ""Sometimes used to make hydrocolloid bandages"", ""Ruled safe as used in cosmetics""]"
Styrene/Butadiene Copolymer,Good,[],"[""Occlusive/Opacifying Agent"", ""Polymer"", ""Texture Enhancer""]","[""Synthetic polymer"", ""Has elastic and viscous properties"", ""Can be used in making hydrocolloid bandages"", ""Ruled safe as used in cosmetics""]"
Styrene/Acrylates Copolymer,Good,[],[],[]
Stearyl Stearate,Good,[],"[""Texture Enhancer"", ""Occlusive/Opacifying Agent""]",[]
Stearyl Methicone,Good,"[""Hydration""]","[""Silicone"", ""Polymer"", ""Texture Enhancer""]",[]
Stearyl Dimethicone,Good,[],"[""Silicone"", ""Polymer"", ""Texture Enhancer""]",[]
Stearyl Alcohol,Good,[],"[""Texture Enhancer"", ""Emulsifier"", ""Cleansing Agent""]","[""Fatty alcohol used as a moisturizer and cleansing agent"", ""Ruled safe as a food additive and as used in cosmetics"", ""Is a white, waxy substance in its raw form"", ""Also known as 1-octadecanol""]"
Stearic Acid,Good,"[""Hydration""]","[""Emollient"", ""Emulsifier"", ""Texture Enhancer""]","[""Functions as an emollient, emulsifier, cleansing and texture-enhancing ingredient in skin care formulas"", ""Protects skin's surface against water loss and helps shore up skin's protective barrier"", ""May be synthetic or animal-derived"", ""Described as white to faintly yellow crystals/powder in its raw material form.""]"
Steareth-21,Good,[],"[""Emulsifier""]","[""Waxy compound that is a derivative of the fatty alcohol stearyl alcohol\u202fFunctions as a surfactant and solubilizing agent\u202fHelps keep ingredients together in an emulsion\u202fDeemed safe by the independent Cosmetic Ingredient Review panel""]"
Steareth-20,Good,[],"[""Cleansing Agent"", ""pH Adjuster/Stabilizer""]","[""Derivative of fatty alcohol stearyl alcohol"", ""Functions as a surfactant and stabilizer"", ""Helps keep ingredients together in an emulsion"", ""Deemed safe as used in cosmetics""]"
Steareth-2,Good,[],"[""Emulsifier""]","[""Waxy compound that is a derivative of stearyl alcohol (which is a non-irritating fatty alcohol)Primarily functions as an emulsifier to help water and oil-based ingredients stay blended"", ""Often combined with steareth-21 to improve a product\u2019s sensory attributes"", ""Deemed safe by the independent Cosmetic Ingredient Review panel""]"
Stearates,Good,"[""Hydration""]","[""Texture Enhancer"", ""Emollient"", ""Emulsifier""]",[]
Stearamidopropyl Dimethylamine,Good,[],"[""Cleansing Agent"", ""Emulsifier"", ""Texture Enhancer""]","[""Used as an emulsifier and surfactant (cleansing agent) in cosmetic formulations"", ""Popular in hair care, where it is praised for delivering antistatic/conditioning properties"", ""Can help build viscosity within a formulation"", ""Typical usage levels range from of 0.01-5% (deemed safe by the Cosmetic Ingredient Review)""]"
Stearalkonium Hectorite,Good,[],"[""Suspending/Dispersing Agent""]","[""Hectorite clay-derived fine power"", ""Used as a suspending/dispersing agent in cosmetics"", ""Helps prevent particle settling in formulas"", ""Deemed safe for use in cosmetics""]"
Stearalkonium Chloride,Good,[],"[""Texture Enhancer"", ""Emulsifier""]",[]
Steapyrium Chloride,Good,[],"[""Texture Enhancer"", ""Emulsifier""]",[]
Spirulina Maxima Extract,Good,"[""Anti-Aging"", ""Soothing""]","[""Plant Extracts"", ""Antioxidant""]",[]
Spirulina,Good,"[""Anti-Aging"", ""Soothing""]","[""Plant Extracts"", ""Antioxidant""]",[]
Spilanthes Acmella Flower Extract,Good,"[""Anti-Aging"", ""Dark Spot Fading""]","[""Antioxidant"", ""Plant Extracts""]","[""Also known as Acmella oleracea flower extract"", ""Has potent antioxidant properties"", ""Also could improve the look of hyperpigmentation"", ""Has a potential \u201cfreezing\u201d effect on wrinkles""]"
Spermidine,Good,"[""Anti-Aging"", ""Evens Skin Tone"", ""Soothing""]","[""Antioxidant"", ""Plant Extracts""]","[""Natural compound in plants, fungi and animals"", ""Has potential to regulate aspects of aging skin"", ""Proven to deliver skin-soothing benefits"", ""May mitigate the appearance of hypopigmentation"", ""More research related to topical application is needed""]"
Sorbitan Tristearate,Good,[],"[""Emulsifier""]","[""Surfactant and emulsifier"", ""Derived from natural sugar sorbitol"", ""Ruled safe as used in cosmetics"", ""In its raw form, has a waxy consistency and light cream to tan color""]"
Sorbitan Stearate,Good,[],"[""Emulsifier"", ""Texture Enhancer""]","[""Primarily used as an emulsifier to enhance the texture of skin care and makeup products"", ""Helps thicken and stabilize the formulation"", ""May also act as a dispersing agent.Light cream to tan in color and can take the form of beads, flakes or a hard waxy solid"", ""Deemed safe by the Cosmetic Ingredient Review Expert Panel (most recently in 2019)""]"
Sorbitan Sesquioleate,Good,[],"[""Texture Enhancer"", ""Emulsifier""]",[]
Sorbitan Olivate,Good,[],"[""Cleansing Agent"", ""Emulsifier""]",[]
Sorbitan Oleate,Good,[],"[""Cleansing Agent"", ""Emulsifier""]","[""Emulsifier and cleansing agent"", ""Also used in food preparations"", ""Ruled safe as used in cosmetics"", ""Yellow to brown liquid in its raw form""]"
Sorbitan Laurate,Good,[],"[""Cleansing Agent"", ""Emulsifier""]","[""Works as a cleansing agent and emulsifier"", ""Also used to enhance the overall texture of skin care products"", ""May be naturally derived or synthetic"", ""Deemed safe in the low amounts used in cosmetics""]"
Sorbitan Isostearate,Good,[],"[""Cleansing Agent"", ""Emulsifier""]","[""Similar to the liquid fatty acid isostearic acid"", ""Works as a mild cleansing agent and emulsifier"", ""Helps stabilize water-in-oil formulas"", ""Not prone to breaking down when exposed to air""]"
Sorbic Acid,Good,[],"[""Preservative""]","[""Preservative naturally derived from mountain ash berries"", ""Used to prevent the growth of bacteria, mold, and fungi"", ""In addition to cosmetics, it is also used to preserve foods"", ""Ruled safe as used in cosmetics""]"
