ingredient_name,rating,benefits,categories,functional_group,info,source
Vitamin K,Good,['Anti-Aging' 'Evens Skin Tone'],['Antioxidant'],['Actives'],[],Paula's Choice
Vitamin D,Good,['Anti-Aging'],['Antioxidant'],['Actives'],[],Paula's Choice
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,Good,[],['Silicone' 'Polymer' 'Texture Enhancer'],['Sensory'],"['Blend of silicone polymers'
 'Functions as a thickening agent and texture enhancer'
 'Typically used in amounts between 0.1-20%Deemed safe as used in cosmetics']",Paula's Choice
Vanillin,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Sweetly aromatic flavoring agent derived from vanilla beans'
 'Can also be produced synthetically or bio-fermented'
 'Antioxidant properties help sustain youthful skin'
 'Popular in lip products but also found in other personal care formulations']",Paula's Choice
Vanilla Planifolia Fruit Extract,Good,['Anti-Aging' 'Soothing'],['Plant Extracts' 'Antioxidant' 'Fragrance: Synthetic and Natural'],['Actives' 'Support' 'Sensory'],"['Known for its antioxidant benefits'
 'Serves as a skin-soothing ingredient'
 'Used as a flavoring agent in some lip products'
 'Its aromatic component (vanillin) is considered non-sensitizing']",Paula's Choice
Valine,Good,['Hydration' 'Soothing'],['Humectant'],['Support'],"['An essential amino acid that provides hydrating benefits'
 'One part of a soothing peptide also made of lysine and proline'
 'Works in the body with leucine and isoleucine to synthesize collagens'
 'May be animal-derived or synthetic']",Paula's Choice
VA/Crotonates Copolymer,Good,[],['Film-Forming Agent'],['Sensory'],[],Paula's Choice
Undecane,Good,[],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['Emollient that is known for offering a lightweight, smooth glide to formulations'
 'Touted for its quick absorbency and non-greasy finish'
 'Found naturally in coconut, palm, prickly pear, gooseberries, algae, and fungi'
 'Often used in tandem with tridecane (another emollient)']",Paula's Choice
Uncaria Tomentosa Extract,Good,['Soothing'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Ulmus Davidiana Root Extract,Good,['Anti-Aging' 'Hydration' 'Soothing'],['Antioxidant' 'Humectant' 'Plant Extracts'],['Actives' 'Support'],"['Plant extract derived from the Ulmus davidiana tree'
 'Hydrates and soothes skin due to its polysaccharide content'
 'Contains bakuchiol and catechin, antioxidants that help protect skin'
 'Reduces the look of fine lines and wrinkles']",Paula's Choice
Tryptophan,Good,['Hydration'],['Antioxidant' 'Humectant'],['Actives' 'Support'],[],Paula's Choice
Tropolone,Good,[],['Antioxidant' 'Preservative'],['Actives' 'Utility'],"['Organic compound that can be derived from plants'
 'Has antioxidant properties'
 'Used as a preservative due to its antimicrobial abilities'
 'Pale-yellow solid in its raw form']",Paula's Choice
Tropaeolum Majus Extract,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['From the garden nasturtium plant'
 'Source of antioxidants vitamin C and lutein'
 'Also a skin conditioning ingredient']",Paula's Choice
Triticum Vulgare Germ Oil,Good,['Hydration' 'Anti-Aging'],['Emollient' 'Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Triticum Vulgare (Wheat) Protein,Good,['Hydration'],['Humectant' 'Film-Forming Agent'],['Support' 'Sensory'],[],Paula's Choice
Triticum Vulgare (Wheat) Germ Extract,Good,['Hydration' 'Anti-Aging'],['Plant Extracts' 'Humectant' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Triticum Aestivum Leaf Powder,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Also known as wheatgrass powder'
 'Helps skin maintain a youthful appearance'
 'Assists in shielding skin from damage associated with external agents'
 'Contains vitamin C and other antioxidant-rich compounds']",Paula's Choice
Trisodium Ethylenediamine Disuccinate,Good,[],['Chelating Agent'],['Utility'],"['Chelating agent which binds with metal ions or metallic compounds'
 'Plays a pivotal role in the overall stability, aesthetics, and efficacy of the formulation'
 'Commonly used in body washes, cleansers, and shampoos'
 'Comes in either solid or granular form as a raw material']",Paula's Choice
Trisodium EDTA,Good,[],['Chelating Agent'],['Utility'],[],Paula's Choice
Trisiloxane,Good,['Hydration'],['Emollient' 'Silicone' 'Texture Enhancer'],['Support' 'Sensory'],"['A colorless, odorless siloxane fluid' 'Imparts a soft feel to skin'
 'Allows for seamless product spreadability'
 'Leaves a non-greasy feel on skin']",Paula's Choice
Tripleurospermum Maritimum Extract,Good,['Anti-Aging' 'Soothing' 'Hydration'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Tripeptide-32,Good,['Anti-Aging'],['Peptides'],['Actives'],"['Also called Spec'
 'Ped® TR32PAdditionally referred to as Chronolux™Has hydrating benefits'
 'Is claimed to regulate skin’s biological clock']",Paula's Choice
Trioctyldodecyl Citrate,Good,['Hydration'],['Humectant' 'Occlusive/Opacifying Agent'],['Support'],[],Paula's Choice
Trioctanoin,Good,['Hydration'],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],[],Paula's Choice
Trioclanolin,Good,['Hydration'],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],[],Paula's Choice
Trimethylsiloxysilicate,Good,['Hydration'],['Silicone' 'Occlusive/Opacifying Agent' 'Humectant'],['Support' 'Sensory'],[],Paula's Choice
Trilaurin,Good,['Hydration'],['Humectant' 'Occlusive/Opacifying Agent'],['Support'],[],Paula's Choice
Triisostearin,Good,[],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['A blend of glycerin and fatty acid stearic acid'
 'Is a triester, meaning it has three ester groups, such as triglyceride'
 'Adds spreadability and enhances texture by adding a cushiony feel'
 'Also known as glyceryl triisostearate']",Paula's Choice
Triisocetyl Citrate,Good,['Hydration'],['Humectant' 'Occlusive/Opacifying Agent'],['Support'],[],Paula's Choice
Trihydroxystearin,Good,['Hydration'],['Emollient' 'Texture Enhancer' 'Occlusive/Opacifying Agent'],['Support' 'Sensory'],"['Mix of glycerin and fatty acid hydroxystearic acid (which is derived from castor oil)Used in amounts between 1-7% as an occlusive or thickener in cosmetics'
 'Ruled safe as used in skin care, hair care, and makeup products'
 'Also used as a direct and indirect food additive']",Paula's Choice
Triheptanoin,Good,['Hydration'],['Emollient'],['Support'],"['Made from glycerin and an oily liquid known as heptanoic acid'
 'Sometimes used as a replacement for siloxane-type silicones'
 'Provides elegant, non-greasy emollient aesthetics'
 'Also used as a dispersing agent for UV filters']",Paula's Choice
Trigonella Foenum-Graecum Seed Extract,Good,['Hydration' 'Anti-Aging'],['Plant Extracts' 'Humectant' 'Antioxidant' 'Antibacterial'],['Actives' 'Support'],"['From a plant known as fenugreek'
 'Has antioxidant + anti-inflammatory benefits'
 'Also has antibacterial properties'
 'Can trigger allergic reactions in those with peanut allergies']",Paula's Choice
Triglyceride,Good,['Hydration'],['Texture Enhancer' 'Emollient'],['Support' 'Sensory'],[],Paula's Choice
Triethylhexanoin,Good,['Hydration'],['Solvent' 'Occlusive/Opacifying Agent' 'Humectant'],['Support' 'Utility'],"['Synthetic mixture of glycerin and 2-ethylhexanoic acid'
 'Functions as a solvent and occlusive agent'
 'Also works as a skin-conditioning emollient and hair conditioner'
 'Considered safe as used in cosmetics']",Paula's Choice
Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone,Good,['Hydration'],['Silicone' 'Polymer' 'Occlusive/Opacifying Agent'],['Support' 'Sensory'],[],Paula's Choice
Triethoxycaprylylsilane Crosspolymer,Good,[],['Silicone' 'Film-Forming Agent' 'Polymer'],['Sensory'],[],Paula's Choice
Triethoxycaprylylsilane,Good,[],['Silicone' 'Texture Enhancer'],['Sensory'],"['Silicone that functions as a binding agent and emulsion stabilizer'
 'Used to coat mineral sunscreen actives and pigments, creating more pleasant aesthetics'
 'Can also help reduce oxidative stress'
 'Proven track record of safety in cosmetic use']",Paula's Choice
Tridecyl Trimellitate,Good,['Hydration'],['Emollient' 'Texture Enhancer' 'Film-Forming Agent'],['Support' 'Sensory'],"['Used as a skin-softening emollient, film-forming agent, and texture-enhancing ingredient'
 'Also touted as an excellent pigment dispersant in cosmetic formulas'
 'Described as a high-viscosity liquid in raw material form'
 'Deemed safe by the Cosmetic Ingredient Review Expert Panel']",Paula's Choice
Tridecyl Stearate,Good,['Hydration'],['Emollient' 'Texture Enhancer'],['Support' 'Sensory'],"['The ester obtained from the reaction of tridecyl alcohol combined with stearic acid'
 'Works as a texture-enhancer/thickening agent and skin-softening emollient'
 'Touted for its quick absorption and velvety after feel'
 'Described as a clear oily liquid in raw material form']",Paula's Choice
Tridecyl Salicylate,Good,['Hydration'],['Humectant'],['Support'],[],Paula's Choice
Trideceth-6,Good,[],['Emulsifier' 'Cleansing Agent'],['Utility'],[],Paula's Choice
Trideceth-12,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],[],Paula's Choice
Tridecane,Good,[],['Emollient' 'Solvent' 'Texture Enhancer'],['Support' 'Utility' 'Sensory'],"['Emollient that is known for offering a lightweight, smooth glide to skin care formulations\u202fTouted for prolonging wear of makeup formulations\u202fFound in okra and other natural sources\u202fOften used as an alternative to silicones (for those who prefer such)']",Paula's Choice
Tricaprylin,Good,['Hydration'],['Emollient'],['Support'],[],Paula's Choice
Tribehenin PEG-20 Esters,Good,['Hydration'],['Emollient' 'Emulsifier' 'Cleansing Agent'],['Support' 'Utility'],[],Paula's Choice
Tribehenin,Good,['Hydration'],['Humectant' 'Occlusive/Opacifying Agent'],['Support'],"['Mixture of glycerin + behenic acid that helps prevent moisture loss and conditions skin/hair'
 'May also be used as an occlusive agent and “gloss aid for cosmetics”Can be plant-derived or synthetic'
 'Deemed safe as a cosmetic ingredient']",Paula's Choice
Triacetin,Good,[],['Solvent' 'Texture Enhancer' 'Preservative'],['Utility' 'Sensory'],"['Triglyceride is used in cosmetics as a solvent to help form solutions'
 'Can also serve as a cosmetic preservative'
 'Improves texture as a plasticizer'
 'Characterized as a colorless and odorless liquid']",Paula's Choice
Trehalose,Good,['Hydration'],['Humectant'],['Support'],"['Water-binding plant sugar that delivers hydrating properties for skin'
 'Offers antioxidant properties to preserve skin’s youthfulness'
 'Can also be used to thicken cosmetic formulas'
 'White, odorless powder in its raw material form']",Paula's Choice
Tragacanth,Good,[],['Texture Enhancer'],['Sensory'],[],Paula's Choice
Tocopheryl Nicotinate,Good,['Anti-Aging'],['Antioxidant'],['Actives'],"['Ester of vitamin E + vitamin B3Has antioxidant properties'
 'Also a skin soothing ingredient' 'Ruled safe as used in cosmetics']",Paula's Choice
Tin Oxide,Good,[],['Occlusive/Opacifying Agent'],['Support'],"['Mineral-derived cosmetic ingredient that is most often used to lend opacity to a formula'
 'May also function as a bulking agent, increasing the volume of the formula'
 'White-to-grayish powder in raw material form'
 'Also goes by the name “tin(IV) oxide” in research literature']",Paula's Choice
Thymol,Good,['Anti-Aging' 'Soothing'],['Antioxidant' 'Fragrance: Synthetic and Natural' 'Plant Extracts'],['Actives' 'Support' 'Sensory'],"['Found in thyme oil' 'Has antioxidant and soothing properties'
 'Can be sensitizing in large amounts']",Paula's Choice
Threonine,Good,['Anti-Aging' 'Hydration'],['Antioxidant' 'Humectant'],['Actives' 'Support'],"['An essential amino acid that provides hydrating benefits'
 'Most often found in blends with other skin care ingredients'
 'Part of peptides that contribute to visibly firmer skin'
 'In the body, threonine plays a signaling role to maintain health']",Paula's Choice
Thiotaurine,Good,['Anti-Aging' 'Hydration'],['Antioxidant' 'Humectant'],['Actives' 'Support'],[],Paula's Choice
Thickening Agent,Good,[],['Texture Enhancer' 'Emulsifier'],['Utility' 'Sensory'],[],Paula's Choice
Tetrasodium Glutamate Diacetate,Good,[],['Chelating Agent'],['Utility'],[],Paula's Choice
Tetrasodium Etidronate,Good,[],['Chelating Agent'],['Utility'],[],Paula's Choice
Tetrasodium EDTA,Good,[],['Chelating Agent'],['Utility'],"['Prevents minerals and metals in water from bonding to other ingredients'
 'Helps prevent unwanted changes to a product’s texture, smell, or consistency'
 'A salt form of EDTA (ethylenediamine tetraacetic acid)Is related to disodium and trisodium EDTAs']",Paula's Choice
Tetrapeptide-21,Good,['Anti-Aging'],['Peptides'],['Actives'],"['Synthetic peptide' 'Composed of glutamic acid, glycine, and lysine'
 'Part of a blend known by the trade name Spec'
 'Ped® SC-Tetra21Claimed to boost proteins in skin’s extracellular matrix']",Paula's Choice
Tetrahydroxypropyl Ethylenediamine,Good,[],['Chelating Agent'],['Utility'],"['Chelating agent' 'Binds with metal ions or metallic compounds'
 'Prevents metal ions from adhering to a surface (such as skin)Also helps prevent contamination']",Paula's Choice
Tetradibutyl Pentaerithrityl Hydroxyhydrocinnamate,Good,[],['Antioxidant' 'pH Adjuster/Stabilizer' 'Preservative'],['Actives' 'Utility'],[],Paula's Choice
Terpineol,Good,['Anti-Aging' 'Soothing'],['Antioxidant' 'Fragrance: Synthetic and Natural' 'Plant Extracts'],['Actives' 'Support' 'Sensory'],"['Found in cardamom and essential oils' 'Has anti-inflammatory properties'
 'Is an antioxidant that may improve skin’s healthy longevity'
 'Promotes an anti-acne environment on skin'
 'Can be sensitizing in large quantities']",Paula's Choice
Terminalia Arjuna Extract,Good,['Anti-Aging' 'Dark Spot Fading'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['From the arjuna plant' 'Has skin conditioning properties'
 'Also an antioxidant and anti-inflammatory ingredient']",Paula's Choice
Tasmannia Lanceolata Fruit/Leaf Extract,Good,['Anti-Aging'],['Antioxidant'],['Actives'],"['Comes from a shrub native to Australia commonly known as the Tasmannia Pepper or Mountain Pepper'
 'This plant’s fruit and leaves are rich in antioxidants, which have soothing/anti-aging benefits'
 'Linked to improving the appearance of stretch marks but more independent studies are needed'
 'Although this plant contains fragrance chemicals, it’s not overly concerning in this extract form']",Paula's Choice
Tapioca Starch,Good,['Oil Control'],['Texture Enhancer' 'Absorbent'],['Sensory'],[],Paula's Choice
Tamarindus Indica Seed Gum,Good,['Hydration'],['Emulsifier' 'Texture Enhancer' 'Humectant'],['Support' 'Utility' 'Sensory'],"['Natural polysaccharide extracted from cluster bean seeds of the tamarind tree'
 'Adds thickening and gelling properties to create smooth textures'
 'Other functions include emulsion stabilizer, skin-conditioning agent, and humectant“Upcycled” skin care ingredient when it is salvaged as a byproduct of tamarind fruit pulp waste']",Paula's Choice
Tamanu Oil,Good,['Hydration' 'Anti-Aging'],['Emollient' 'Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Tagetes Erecta Flower Extract,Good,['Anti-Aging' 'Dark Spot Fading'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['From the Aztec or Mexican marigold' 'Has skin conditioning properties'
 'Also an antioxidant and anti-inflammatory ingredient'
 'Could potentially fade dark spots']",Paula's Choice
Synthetic Wax,Good,[],['Texture Enhancer' 'pH Adjuster/Stabilizer'],['Utility' 'Sensory'],[],Paula's Choice
Synthetic Fluorphlogopite,Good,[],['Texture Enhancer'],['Sensory'],[],Paula's Choice
Synthetic Fluorophlogopite,Good,[],['Texture Enhancer'],['Sensory'],[],Paula's Choice
Synthetic Beeswax,Good,[],['Texture Enhancer'],['Sensory'],"['Vegan material designed to mimic beeswax'
 'Made of esters and fatty alcohols'
 'Emollient, skin protectant, and texture enhancer'
 'Ruled safe as used in cosmetics']",Paula's Choice
Symphytum Officinale Callus Culture Extract,Good,['Anti-Aging'],['Antioxidant' 'Plant Extracts'],['Actives' 'Support'],"['Stem cell extract from the comfrey plant'
 'Has antioxidant and soothing properties'
 'Helps improve some visible signs of aging'
 'Does not present the same problems for skin as pure comfrey']",Paula's Choice
Sweet Almond,Good,['Anti-Aging' 'Hydration'],['Plant Extracts' 'Antioxidant'],['Actives' 'Support'],[],Paula's Choice
Surfactant,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],[],Paula's Choice
Sulfur,Good,['Anti-Acne'],['Irritant' 'Antibacterial' 'Exfoliant'],['Actives' 'Risks'],"['Non-metal chemical element'
 'Antimicrobial, exfoliating & anti-inflammatory properties'
 'Used to treat several skin issues, including acne'
 'Typically used in amounts from 3-10%Can cause dryness & irritation in high concentrations']",Paula's Choice
Sulfates,Good,[],['Cleansing Agent' 'Emulsifier'],['Utility'],[],Paula's Choice
Sucrose Stearate,Good,['Hydration'],['Cleansing Agent' 'Emollient'],['Support' 'Utility'],[],Paula's Choice
Sucrose Laurate,Good,['Hydration'],['Cleansing Agent' 'Emollient' 'Emulsifier'],['Support' 'Utility'],"['Created from a combination of sugar and lauric acid'
 'Functions as an emollient/skin-conditioning agent and emulsifier/surfactant'
 'Often touted as a gentle cleansing agent'
 'P&G study suggests blending this ingredient with dilaurate to mitigate skin dulling/yellowing']",Paula's Choice
Sucrose Cocoate,Good,[],['Emollient' 'Emulsifier' 'Texture Enhancer'],['Support' 'Utility' 'Sensory'],"['Made from coconut acid but may also be synthetic'
 'Used as a gentle surfactant, emulsifier, and emollient'
 'Improves foaming aesthetic when added to cleansers'
 'Improves texture and spreadability of creams and lotions']",Paula's Choice
Sucrose,Good,['Hydration'],['Humectant'],['Support'],[],Paula's Choice
Succinic Acid,Good,['Soothing' 'Anti-Acne'],['pH Adjuster/Stabilizer' 'Chelating Agent'],['Utility'],"['Used in cosmetics to adjust p' 'H and mask unpleasant odors'
 'Produced naturally on skin where it controls the population of C. acnes'
 'Products with succinic acid may play an indirect role in improving breakouts'
 'May be synthetic or obtained via fermentation']",Paula's Choice
Styrene/Isoprene Copolymer,Good,[],['Occlusive/Opacifying Agent' 'Polymer' 'Texture Enhancer'],['Support' 'Sensory'],"['Synthetic polymer' 'Film-forming agent and opacifier'
 'Sometimes used to make hydrocolloid bandages'
 'Ruled safe as used in cosmetics']",Paula's Choice
Styrene/Butadiene Copolymer,Good,[],['Occlusive/Opacifying Agent' 'Polymer' 'Texture Enhancer'],['Support' 'Sensory'],"['Synthetic polymer' 'Has elastic and viscous properties'
 'Can be used in making hydrocolloid bandages'
 'Ruled safe as used in cosmetics']",Paula's Choice
Styrene/Acrylates Copolymer,Good,[],[],[],[],Paula's Choice
Stearyl Stearate,Good,[],['Texture Enhancer' 'Occlusive/Opacifying Agent'],['Support' 'Sensory'],[],Paula's Choice
Stearyl Methicone,Good,['Hydration'],['Silicone' 'Polymer' 'Texture Enhancer'],['Sensory'],[],Paula's Choice
Stearyl Dimethicone,Good,[],['Silicone' 'Polymer' 'Texture Enhancer'],['Sensory'],[],Paula's Choice
Stearyl Alcohol,Good,[],['Texture Enhancer' 'Emulsifier' 'Cleansing Agent'],['Utility' 'Sensory'],"['Fatty alcohol used as a moisturizer and cleansing agent'
 'Ruled safe as a food additive and as used in cosmetics'
 'Is a white, waxy substance in its raw form'
 'Also known as 1-octadecanol']",Paula's Choice
Stearic Acid,Good,['Hydration'],['Emollient' 'Emulsifier' 'Texture Enhancer'],['Support' 'Utility' 'Sensory'],"['Functions as an emollient, emulsifier, cleansing and texture-enhancing ingredient in skin care formulas'
 ""Protects skin's surface against water loss and helps shore up skin's protective barrier""
 'May be synthetic or animal-derived'
 'Described as white to faintly yellow crystals/powder in its raw material form.']",Paula's Choice
Steareth-21,Good,[],['Emulsifier'],['Utility'],['Waxy compound that is a derivative of the fatty alcohol stearyl alcohol\u202fFunctions as a surfactant and solubilizing agent\u202fHelps keep ingredients together in an emulsion\u202fDeemed safe by the independent Cosmetic Ingredient Review panel'],Paula's Choice
Steareth-20,Good,[],['Cleansing Agent' 'pH Adjuster/Stabilizer'],['Utility'],"['Derivative of fatty alcohol stearyl alcohol'
 'Functions as a surfactant and stabilizer'
 'Helps keep ingredients together in an emulsion'
 'Deemed safe as used in cosmetics']",Paula's Choice
Steareth-2,Good,[],['Emulsifier'],['Utility'],"['Waxy compound that is a derivative of stearyl alcohol (which is a non-irritating fatty alcohol)Primarily functions as an emulsifier to help water and oil-based ingredients stay blended'
 'Often combined with steareth-21 to improve a product’s sensory attributes'
 'Deemed safe by the independent Cosmetic Ingredient Review panel']",Paula's Choice
Stearates,Good,['Hydration'],['Texture Enhancer' 'Emollient' 'Emulsifier'],['Support' 'Utility' 'Sensory'],[],Paula's Choice
Stearamidopropyl Dimethylamine,Good,[],['Cleansing Agent' 'Emulsifier' 'Texture Enhancer'],['Utility' 'Sensory'],"['Used as an emulsifier and surfactant (cleansing agent) in cosmetic formulations'
 'Popular in hair care, where it is praised for delivering antistatic/conditioning properties'
 'Can help build viscosity within a formulation'
 'Typical usage levels range from of 0.01-5% (deemed safe by the Cosmetic Ingredient Review)']",Paula's Choice
Stearalkonium Hectorite,Good,[],['Suspending/Dispersing Agent'],['Sensory'],"['Hectorite clay-derived fine power'
 'Used as a suspending/dispersing agent in cosmetics'
 'Helps prevent particle settling in formulas'
 'Deemed safe for use in cosmetics']",Paula's Choice
Stearalkonium Chloride,Good,[],['Texture Enhancer' 'Emulsifier'],['Utility' 'Sensory'],[],Paula's Choice
Steapyrium Chloride,Good,[],['Texture Enhancer' 'Emulsifier'],['Utility' 'Sensory'],[],Paula's Choice
